symptoms,disease,dos,donts,severity
"body_ache, chills, cough, fatigue, fever, joint_pain, skin_rash, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, itching, muscle_pain, runny_nose, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, muscle_pain, sneezing, sore_throat, vomiting",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, headache, shortness_breath, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, itching, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sore_throat, vomiting",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, nausea, sneezing, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, headache, muscle_pain, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, diarrhea, fatigue, fever, sneezing, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, muscle_pain, runny_nose, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, diarrhea, fatigue, fever, sneezing, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
"body_ache, chills, cough, fatigue, fever, joint_pain, muscle_pain, sore_throat",Flu,Drink warm fluids|Take rest|Take prescribed medicines|Consume vitamin C|Use saline nasal drops,Avoid cold food|Avoid heavy exercise|Avoid dust exposure|Avoid smoking|Avoid alcohol,Medium
